Clubname
"Sketch Comedy Club, UW"
"Smash, UW"
Socialist Fightback Club
Society of Arab Students (SAS)
"Society of Future Black Physicians, UW"
Soul Food
Spicy Meme Club
SPIE Student Chapter
Sri Lankan Student Alliance of Waterloo (SLSAW)
"STEM Fellowship, UW"
"Students for Life, UW"
"Students for Palestinian Rights, UW"
Students for United Way (SUW)
"Students Offering Support, UW"
Swaggerloo
Swimming with a Mission
Tea and Culture Club
Thaqalayn Muslim Association (TMA)
The Living Card Game Club
"Toastmasters, UW"
University of Waterloo Backpackers Association (UWBA)
University of Waterloo Cantonese Chinese Christian Fellowship
University of Waterloo Model Parliament
University of Waterloo New Democratic Party Club
University of Waterloo Sports Business Association (UWSBA)
UW Aviation Society
UW Blockchain Club
UW Book Club
UW Chinese Literature Connection
UW Magic and Cardistry Club
UW OneMatch
UW Opportutoring
UW PokÌ©manaics
UW Quizbowl
UW UNICEF
UW VR
UW Young Greens
UW Youth Horizon
"Vietnamese Student Association, UW (UWVSA )"
"Vietnamese Students‰Ûª Association, UW"
Visual Arts Club
Warriors in Words
Waterloo Atheists & Secular Humanists
Waterloo Geospatial Club (UWGC)
Waterloo Ismaili Students Association
Waterloo Movie Watchers Club
Waterloo Oncology Pharmacy Interest Group
Waterloo Snow Coalition
Waterloo Vegetarian Association
Waterloo Warlords Paintball Club
WaterlUX
WatSFiC (Waterloo Science Fiction and Fantasy Club)
Wings Over Waterloo
Wish Youth Network Society Waterloo (WYNS Waterloo)
"Women in Science, Technology,  Engineering, and Mathematics (WiSTEM)"
"World Vision, UW"
"Young Greens, UW"
"Young Liberals, UW"
